Title,Author,Runtime
The Accidental Siren,"Lexi Blake, Sophie Oak",13 h y 50 m
Marrying Mr. Majestic,Lucy Lennox,8 h y 46 m
Devourer of Men,Nikki St. Crowe,5 h y 19 m
The Way We Touch,Tia Louise,8 h y 56 m
Task Force Hammer,Craig Alanson,21 h y 40 m
The Empress of Beasts,pirateaba,30 h y 29 m
Drumindor,Michael J. Sullivan,12 h y 45 m
I Haven’t Been Entirely Honest with You,Miranda Hart,Aún no se conoce
"2 Lies, 2 Thrones",Eric Ugland,9 h y 13 m
The Body in the Backyard,Lucy Score,11 h y 56 m
Practical Adept,Terry Mancour,32 h y 57 m
The Vampire and the Case of the Cursed Canine,"Heather G. Harris, Jilleen Dolbeare",7 h y 58 m
Never Enough,Andrew Wilkinson,8 h y 45 m
Dead Med,Freida McFadden,10 h y 33 m
Fortune of the Witch,Deanna Chase,5 h y 39 m
Ghost in the Deep,"J.N. Chaney, Terry Maggert",9 h y 51 m
Sanctuary,Ilona Andrews,4 h y 27 m
The Primal Hunter 9: A LitRPG Adventure,Zogarth,20 h y 23 m
Gathering Mist,Margaret Mizushima,8 h y 20 m
Scythe & Sparrow,Brynne Weaver,Aún no se conoce
