title,author,runtime
Task Force Hammer,Craig Alanson,21 h y 40 m
The Longest Con,Joe Conason,10 h y 55 m
Under Your Scars,Ariel N. Anderson,19 h y 2 m
The Empress of Beasts,pirateaba,30 h y 29 m
Drumindor,Michael J. Sullivan,12 h y 45 m
"2 Lies, 2 Thrones",Eric Ugland,9 h y 13 m
Mayhem,Aaron Oster,18 h y 16 m
Still Mine,Nadia Lee,11 h y 8 m
Practical Adept,Terry Mancour,32 h y 57 m
The Body in the Backyard,Lucy Score,11 h y 56 m
I Haven’t Been Entirely Honest with You,Miranda Hart,Aún no se conoce
Ghost in the Deep,"J.N. Chaney,Terry Maggert",9 h y 51 m
Scythe & Sparrow,Brynne Weaver,Aún no se conoce
Gathering Mist,Margaret Mizushima,8 h y 20 m
The Primal Hunter 9: A LitRPG Adventure,Zogarth,20 h y 23 m
Dead Med,Freida McFadden,10 h y 33 m
Sanctuary,Ilona Andrews,4 h y 27 m
A Death in Cornwall,Daniel Silva,9 h y 24 m
Protocols,Andrew D. Huberman Ph.D.,10 h
"College Girl, Missing",Shawn Cohen,5 h y 30 m
